,parking_kind,payed,parking_duration,lon,lat,zsname,noise_norm,leisure_norm,traffic_norm,duration_norm
3601,White Zone,1,120.0,8.529194,47.371757,Stauffacherstrasse (Stauffacherbrücke),0.39473684210526316,0.2672413793103448,0.17624549740168657,0.06885245901639345
3602,White Zone,1,120.0,8.525574,47.375214,Stauffacherstrasse (Feldstrasse),0.5789473684210527,0.6896551724137931,0.0570065933519952,0.06885245901639345
3603,Blue Zone,0,60.0,8.527093,47.387398,Kornhausbrücke,0.7368421052631579,0.10344827586206896,0.3585906464831792,0.029508196721311476
3604,Blue Zone,0,60.0,8.53,47.384994,Kornhausbrücke,0.2631578947368421,0.3879310344827586,0.3585906464831792,0.029508196721311476
3605,Blue Zone,0,60.0,8.547384,47.37527,Seilergraben (Mühlegasse),0.5526315789473685,0.3879310344827586,0.44909103894778263,0.029508196721311476
3606,Blue Zone,0,60.0,8.526047,47.370332,Schimmelstrasse (Werdstrasse),0.23684210526315788,0.20689655172413793,0.6429165349465716,0.029508196721311476
3607,Blue Zone,0,60.0,8.526305,47.370478,Schimmelstrasse (Werdstrasse),0.23684210526315788,0.21551724137931033,0.6429165349465716,0.029508196721311476
3608,Blue Zone,0,60.0,8.526451,47.370512,Schimmelstrasse (Werdstrasse),0.23684210526315788,0.21551724137931033,0.6429165349465716,0.029508196721311476
3609,Blue Zone,0,60.0,8.529768,47.376189,Gessnerallee (Usteribrücke),0.21052631578947367,0.646551724137931,0.40713128435351204,0.029508196721311476
3610,White Zone,1,120.0,8.535468,47.380142,Neumühlequai (Sanität),0.13157894736842105,0.19827586206896552,0.4742230425815998,0.06885245901639345
3611,White Zone,1,120.0,8.544504,47.376298,Bahnhofbrücke,0.631578947368421,0.5172413793103449,0.20592063935552973,0.06885245901639345
3612,White Zone,1,120.0,8.544589,47.375118,Limmatquai (Rudolf-Brun-Brücke),0.21052631578947367,0.6896551724137931,0.0,0.06885245901639345
3613,White Zone,1,120.0,8.54544,47.375645,Seilergraben (Mühlegasse),0.7894736842105263,0.5517241379310345,0.44909103894778263,0.06885245901639345
3614,White Zone,1,120.0,8.541679,47.384737,Neumühlequai (Sanität),0.2631578947368421,0.06896551724137931,0.4742230425815998,0.06885245901639345
3615,White Zone,1,120.0,8.530691,47.374403,Stauffacherquai (Stauffacherbrücke),0.4473684210526316,0.46551724137931033,0.12368088286075586,0.06885245901639345
3616,White Zone,1,120.0,8.529114,47.371298,Stauffacherstrasse (Stauffacherbrücke),0.34210526315789475,0.2413793103448276,0.17624549740168657,0.06885245901639345
3617,White Zone,1,120.0,8.52883,47.375613,Stauffacherquai (Stauffacherbrücke),0.47368421052631576,0.6896551724137931,0.12368088286075586,0.06885245901639345
3618,White Zone,1,120.0,8.526922,47.370602,Manessestrasse (Stauffacherquai),0.2894736842105263,0.21551724137931033,0.4539211006886124,0.06885245901639345
3619,White Zone,1,120.0,8.527147,47.370475,Manessestrasse (Stauffacherquai),0.2894736842105263,0.1896551724137931,0.4539211006886124,0.06885245901639345
3620,White Zone,1,120.0,8.528376,47.37829,Stauffacherstrasse (Feldstrasse),0.23684210526315788,0.8706896551724138,0.0570065933519952,0.06885245901639345
3621,White Zone,1,120.0,8.528117,47.374253,Stauffacherquai (Stauffacherbrücke),0.8947368421052632,0.6293103448275862,0.12368088286075586,0.06885245901639345
3622,White Zone,1,120.0,8.529029,47.376682,Gessnerallee (Usteribrücke),0.47368421052631576,0.7758620689655172,0.40713128435351204,0.06885245901639345
3623,White Zone,1,120.0,8.529188,47.376576,Gessnerallee (Usteribrücke),0.15789473684210525,0.7758620689655172,0.40713128435351204,0.06885245901639345
3624,White Zone,1,120.0,8.528028,47.378749,Stauffacherstrasse (Feldstrasse),0.2631578947368421,0.8879310344827587,0.0570065933519952,0.06885245901639345
3625,White Zone,1,120.0,8.527178,47.372482,Stauffacherstrasse (Stauffacherbrücke),0.7894736842105263,0.3706896551724138,0.17624549740168657,0.06885245901639345
3626,White Zone,1,120.0,8.541431,47.381458,Neumühlequai (Sanität),0.7631578947368421,0.1724137931034483,0.4742230425815998,0.06885245901639345
3627,White Zone,1,120.0,8.540049,47.36891,Quaibrücke,0.3157894736842105,0.27586206896551724,0.9194986534735871,0.06885245901639345
3628,White Zone,1,120.0,8.53983,47.368878,Quaibrücke,0.3157894736842105,0.27586206896551724,0.9194986534735871,0.06885245901639345
3629,White Zone,1,120.0,8.540149,47.369741,Talstrasse (Pelikanstrasse),0.2894736842105263,0.49137931034482757,0.23493645373015498,0.06885245901639345
3630,White Zone,1,120.0,8.547809,47.383549,Stampfenbachstrasse (Wasserwerkstrasse),0.7631578947368421,0.034482758620689655,0.23748348251916057,0.06885245901639345
3631,White Zone,1,120.0,8.532411,47.372247,Stauffacherquai (Stauffacherbrücke),0.6578947368421053,0.29310344827586204,0.12368088286075586,0.06885245901639345
3632,White Zone,1,60.0,8.546513,47.379978,Stampfenbachstrasse (Wasserwerkstrasse),0.8157894736842105,0.21551724137931033,0.23748348251916057,0.029508196721311476
3633,White Zone,1,60.0,8.546468,47.380042,Stampfenbachstrasse (Wasserwerkstrasse),0.8157894736842105,0.21551724137931033,0.23748348251916057,0.029508196721311476
3634,White Zone,1,120.0,8.532028,47.382144,Kornhausbrücke,0.21052631578947367,0.3793103448275862,0.3585906464831792,0.06885245901639345
3635,White Zone,1,120.0,8.541961,47.383582,Neumühlequai (Sanität),0.21052631578947367,0.08620689655172414,0.4742230425815998,0.06885245901639345
3636,White Zone,1,120.0,8.542078,47.383734,Neumühlequai (Sanität),0.23684210526315788,0.08620689655172414,0.4742230425815998,0.06885245901639345
3637,White Zone,1,120.0,8.532477,47.377931,Gessnerallee (Usteribrücke),0.5526315789473685,0.20689655172413793,0.40713128435351204,0.06885245901639345
3638,White Zone,1,120.0,8.532417,47.377971,Gessnerallee (Usteribrücke),0.5526315789473685,0.20689655172413793,0.40713128435351204,0.06885245901639345
3639,White Zone,1,120.0,8.532432,47.383818,Kornhausbrücke,0.7368421052631579,0.41379310344827586,0.3585906464831792,0.06885245901639345
3640,White Zone,1,120.0,8.531571,47.381523,Kornhausbrücke,0.13157894736842105,0.33620689655172414,0.3585906464831792,0.06885245901639345
3641,White Zone,1,120.0,8.531722,47.381427,Milchbucktunnel (Südportal),0.15789473684210525,0.31896551724137934,0.797039771765859,0.06885245901639345
3642,White Zone,1,120.0,8.547509,47.38135,Stampfenbachstrasse (Wasserwerkstrasse),0.21052631578947367,0.09482758620689655,0.23748348251916057,0.06885245901639345
3643,White Zone,1,120.0,8.546884,47.373745,Seilergraben (Mühlegasse),0.7105263157894737,0.5603448275862069,0.44909103894778263,0.06885245901639345
3644,White Zone,1,120.0,8.546821,47.373821,Seilergraben (Mühlegasse),0.8421052631578947,0.646551724137931,0.44909103894778263,0.06885245901639345
3645,White Zone,1,120.0,8.546046,47.374742,Seilergraben (Mühlegasse),0.8157894736842105,0.6551724137931034,0.44909103894778263,0.06885245901639345
3646,White Zone,1,120.0,8.545318,47.375832,Seilergraben (Mühlegasse),0.6842105263157895,0.5517241379310345,0.44909103894778263,0.06885245901639345
3647,White Zone,1,30.0,8.526307,47.372552,Schimmelstrasse (Werdstrasse),0.5789473684210527,0.41379310344827586,0.6429165349465716,0.009836065573770493
3648,White Zone,1,120.0,8.542442,47.382513,Neumühlequai (Sanität),0.2894736842105263,0.1206896551724138,0.4742230425815998,0.06885245901639345
3649,White Zone,1,60.0,8.547857,47.383834,Stampfenbachstrasse (Wasserwerkstrasse),0.42105263157894735,0.04310344827586207,0.23748348251916057,0.029508196721311476
3650,White Zone,1,120.0,8.540015,47.374861,Uraniastrasse (Bahnhofstrasse),0.7105263157894737,0.5862068965517241,0.3904156185100031,0.06885245901639345
3651,White Zone,1,30.0,8.540593,47.375257,Rudolf Brun-Brücke,0.631578947368421,0.7758620689655172,0.21838188107078502,0.009836065573770493
3652,White Zone,1,120.0,8.537283,47.370495,Talstrasse (Pelikanstrasse),0.4473684210526316,0.43103448275862066,0.23493645373015498,0.06885245901639345
3653,White Zone,1,120.0,8.534235,47.382785,Milchbucktunnel (Südportal),0.8157894736842105,0.23275862068965517,0.797039771765859,0.06885245901639345
3654,White Zone,1,120.0,8.540686,47.369269,Quaibrücke,0.34210526315789475,0.41379310344827586,0.9194986534735871,0.06885245901639345
3655,White Zone,1,120.0,8.540701,47.369216,Quaibrücke,0.6052631578947368,0.3620689655172414,0.9194986534735871,0.06885245901639345
3656,White Zone,1,120.0,8.540773,47.369322,Quaibrücke,0.34210526315789475,0.41379310344827586,0.9194986534735871,0.06885245901639345
3657,White Zone,1,120.0,8.536513,47.370023,Talstrasse (Pelikanstrasse),0.8157894736842105,0.35344827586206895,0.23493645373015498,0.06885245901639345
3658,White Zone,1,120.0,8.529799,47.370545,Stauffacherstrasse (Stauffacherbrücke),0.8421052631578947,0.1810344827586207,0.17624549740168657,0.06885245901639345
3659,White Zone,1,120.0,8.530063,47.37109,Stauffacherstrasse (Stauffacherbrücke),0.8421052631578947,0.2413793103448276,0.17624549740168657,0.06885245901639345
3660,White Zone,1,120.0,8.534534,47.368646,Stockerstrasse (Dreikönigstrasse),0.2894736842105263,0.23275862068965517,0.10302325384685228,0.06885245901639345
3661,White Zone,1,120.0,8.53447,47.368626,Stockerstrasse (Dreikönigstrasse),0.7368421052631579,0.21551724137931033,0.10302325384685228,0.06885245901639345
3662,White Zone,1,120.0,8.532778,47.368756,Stockerstrasse (Dreikönigstrasse),0.2631578947368421,0.1206896551724138,0.10302325384685228,0.06885245901639345
3663,White Zone,1,120.0,8.528575,47.370401,Manessestrasse (Stauffacherquai),0.2631578947368421,0.11206896551724138,0.4539211006886124,0.06885245901639345
3664,White Zone,1,120.0,8.547375,47.380506,Stampfenbachstrasse (Wasserwerkstrasse),0.3157894736842105,0.13793103448275862,0.23748348251916057,0.06885245901639345
3665,White Zone,1,120.0,8.536728,47.369573,Talstrasse (Pelikanstrasse),0.8157894736842105,0.3448275862068966,0.23493645373015498,0.06885245901639345
3666,White Zone,1,120.0,8.531955,47.381282,Milchbucktunnel (Südportal),0.15789473684210525,0.3103448275862069,0.797039771765859,0.06885245901639345
3667,White Zone,1,120.0,8.530885,47.381865,Kornhausbrücke,0.21052631578947367,0.4051724137931034,0.3585906464831792,0.06885245901639345
3668,White Zone,1,120.0,8.542404,47.382678,Neumühlequai (Sanität),0.39473684210526316,0.11206896551724138,0.4742230425815998,0.06885245901639345
3669,White Zone,1,120.0,8.542429,47.382568,Neumühlequai (Sanität),0.2894736842105263,0.1206896551724138,0.4742230425815998,0.06885245901639345
3670,White Zone,1,120.0,8.530114,47.377999,Gessnerallee (Usteribrücke),0.631578947368421,0.6551724137931034,0.40713128435351204,0.06885245901639345
3671,White Zone,1,120.0,8.529555,47.378771,Gessnerallee (Usteribrücke),0.8421052631578947,0.6724137931034483,0.40713128435351204,0.06885245901639345
3672,White Zone,1,120.0,8.53663,47.369948,Talstrasse (Pelikanstrasse),0.8157894736842105,0.35344827586206895,0.23493645373015498,0.06885245901639345
3673,White Zone,1,120.0,8.540876,47.368628,Quaibrücke,0.5789473684210527,0.3275862068965517,0.9194986534735871,0.06885245901639345
3674,White Zone,1,120.0,8.537137,47.369502,Talstrasse (Pelikanstrasse),0.6578947368421053,0.3275862068965517,0.23493645373015498,0.06885245901639345
3675,White Zone,1,120.0,8.53467,47.368692,Stockerstrasse (Dreikönigstrasse),0.2894736842105263,0.23275862068965517,0.10302325384685228,0.06885245901639345
